The Oxford 3000™ (American English)

Index   English            Fr                            

[1]     The                Le                            
[2]     a,                 un,                           
[3]     abandon            abandonner                    
[4]     ability            capacité                      
[5]     able               capable                       
[6]     about              à propos                      
[7]     above              au-dessus de                  
[8]     abroad             à l'étranger                  
[9]     absolute           absolu                        
[10]    absolutely         absolument                    
[11]    academic           académique                    
[12]    accept             accepter                      
[13]    acceptable         acceptable                    
[14]    access             accéder                       
[15]    accident           accident                      
[16]    accompany          accompagner                   
[17]    according          selon                         
[18]    account            compte                        
[19]    accurate           précis                        
[20]    accuse             accuser                       
[21]    achieve            atteindre                     
[22]    achievement        réalisation                   
[23]    acknowledge        reconnaître                   
[24]    acquire            acquérir                      
[25]    across             à travers                     
[26]    act                acte                          
[27]    action             action                        
[28]    active             actif                         
[29]    activity           activité                      
[30]    actor              acteur                        
[31]    actress            actrice                       
[32]    actual             réel                          
[33]    actually           en fait                       
[34]    ad                 annonce                       
[35]    adapt              adapter                       
[36]    add                ajouter                       
[37]    addition           ajout                         
[38]    additional         supplémentaire                
[39]    address            adresse                       
[40]    administration     administration                
[41]    admire             admirer                       
[42]    admit              admettre                      
[43]    adopt              adopter                       
[44]    adult              adulte                        
[45]    advance            avance                        
[46]    advanced           avancé                        
[47]    advantage          avantage                      
[48]    adventure          aventure                      
[49]    advertise          annoncer                      
[50]    advertisement      publicité                     
[51]    advertising        publicité                     
[52]    advice             conseil                       
[53]    advise             conseiller                    
[54]    affair             affaire                       
[55]    affect             affecter                      
[56]    afford             permettre                     
[57]    afraid             effrayé                       
[58]    after              après                         
[59]    afternoon          après-midi                    
[60]    afterward          après                         
[61]    again              encore                        
[62]    against            contre                        
[63]    age                âge                           
[64]    agency             agence                        
[65]    agenda             ordre du jour                 
[66]    agent              agent                         
[67]    aggressive         agressif                      
[68]    ago                il y a                        
[69]    agree              accepter                      
[70]    agreement          accord                        
[71]    ah                 ah                            
[72]    ahead              devant                        
[73]    aid                aide                          
[74]    aim                but                           
[75]    air                air                           
[76]    aircraft           aéronef                       
[77]    airline            compagnie aérienne            
[78]    airport            aéroport                      
[79]    alarm              alarme                        
[80]    album              album                         
[81]    alcohol            alcool                        
[82]    alcoholic          alcoolique                    
[83]    alive              vivant                        
[84]    all                tous                          
[85]    all                tous                          
[86]    allow              permettre                     
[87]    almost             presque                       
[88]    alone              seul                          
[89]    along              le long de                    
[90]    already            déjà                          
[91]    also               aussi                         
[92]    alter              modifier                      
[93]    alternative        alternative                   
[94]    although           bien que                      
[95]    always             toujours                      
[96]    amazed             étonné                        
[97]    amazing            incroyable                    
[98]    ambition           ambition                      
[99]    among              parmi                         
[100]   amount             montant                       
[101]   analysis           analyse                       
[102]   analyze            analyser                      
[103]   ancient            ancien                        
[104]   and                et                            
[105]   anger              colère                        
[106]   angle              angle                         
[107]   angry              en colère                     
[108]   animal             animal                        
[109]   ankle              cheville                      
[110]   anniversary        anniversaire                  
[111]   announce           annoncer                      
[112]   announcement       annonce                       
[113]   annoy              ennuyer                       
[114]   annoyed            agacé                         
[115]   annoying           ennuyeux                      
[116]   annual             annuel                        
[117]   another            un autre                      
[118]   answer             répondre                      
[119]   anxious            anxieux                       
[120]   any                n'importe lequel              
[121]   anybody            personne                      
[122]   anymore            plus                          
[123]   anyone             n'importe qui                 
[124]   anything           rien                          
[125]   anyway             de toute façon                
[126]   anywhere           n'importe où                  
[127]   apart              à part                        
[128]   apartment          appartement                   
[129]   apologize          s'excuser                     
[130]   app                appliquer                     
[131]   apparent           apparent                      
[132]   apparently         apparemment                   
[133]   appeal             appel                         
[134]   appear             apparaître                    
[135]   appearance         apparence                     
[136]   apple              pomme                         
[137]   application        application                   
[138]   apply              appliquer                     
[139]   appointment        rendez-vous                   
[140]   appreciate         apprécier                     
[141]   approach           approche                      
[142]   appropriate        approprié                     
[143]   approval           approbation                   
[144]   approve            approuver                     
[145]   approximately      environ                       
[146]   April              Avril                         
[147]   architect          architecte                    
[148]   architecture       architecture                  
[149]   area               zone                          
[150]   argue              argumenter                    
[151]   argument           argument                      
[152]   arise              surgir                        
[153]   arm                bras                          
[154]   armed              armé                          
[155]   arms               bras                          
[156]   army               armée                         
[157]   around             autour                        
[158]   arrange            organiser                     
[159]   arrangement        arrangement                   
[160]   arrest             arrêter                       
[161]   arrival            arrivée                       
[162]   arrive             arriver                       
[163]   art                art                           
[164]   article            article                       
[165]   artificial         artificiel                    
[166]   artist             artiste                       
[167]   artistic           artistique                    
[168]   as                 comme                         
[169]   ashamed            honteux                       
[170]   aside              de côté                       
[171]   ask                demander                      
[172]   asleep             endormi                       
[173]   aspect             aspect                        
[174]   assess             évaluer                       
[175]   assessment         évaluation                    
[176]   assignment         affectation                   
[177]   assist             assister                      
[178]   assistant          assistant                     
[179]   associate          associé                       
[180]   associated         associé                       
[181]   association        association                   
[182]   assume             supposer                      
[183]   at                 à                             
[184]   athlete            athlète                       
[185]   atmosphere         atmosphère                    
[186]   attach             attacher                      
[187]   attack             attaque                       
[188]   attempt            tentative                     
[189]   attend             assister à                    
[190]   attention          attention                     
[191]   attitude           attitude                      
[192]   attorney           avocat                        
[193]   attract            attirer                       
[194]   attraction         attirance                     
[195]   attractive         attractif                     
[196]   audience           public                        
[197]   August             Août                          
[198]   aunt               tante                         
[199]   author             auteur                        
[200]   authority          autorité                      
[201]   automatic          automatique                   
[202]   automatically      automatiquement               
[203]   available          disponible                    
[204]   average            moyenne                       
[205]   avoid              éviter                        
[206]   award              prix                          
[207]   aware              conscient                     
[208]   away               loin                          
[209]   awesome            génial                        
[210]   awful              affreux                       
[211]   baby               bébé                          
[212]   back               dos                           
[213]   background         arrière-plan                  
[214]   backward           en arrière                    
[215]   bacteria           bactéries                     
[216]   bad                mauvais                       
[217]   badly              gravement                     
[218]   bag                sac                           
[219]   bake               cuire                         
[220]   balance            équilibre                     
[221]   ball               balle                         
[222]   ban                interdire                     
[223]   banana             banane                        
[224]   band               groupe                        
[225]   bank               banque                        
[226]   bank               banque                        
[227]   bar                bar                           
[228]   barrier            barrière                      
[229]   base               base                          
[230]   baseball           base-ball                     
[231]   based              basé                          
[232]   basic              basique                       
[233]   basically          essentiellement               
[234]   basis              base                          
[235]   basketball         basket-ball                   
[236]   bath               bain                          
[237]   bathroom           salle de bain                 
[238]   battery            batterie                      
[239]   battle             bataille                      
[240]   be                 être                          
[241]   beach              plage                         
[242]   bean               haricot                       
[243]   bear               ours                          
[244]   bear               ours                          
