The Oxford 3000™ (American English)

Index   En                 Lb                            

[1]     The                The                           
[2]     a,                 A,                            
[3]     abandon            hannerlooss                   
[4]     ability            Fuerfung                      
[5]     able               passéiert                     
[6]     about              Iwwer                         
[7]     above              uewen                         
[8]     abroad             am Ausland                    
[9]     absolute           baach                         
[10]    absolutely         absolut                       
[11]    academic           Akosica                       
[12]    accept             akzeptéieren                  
[13]    acceptable         akzeptabel                    
[14]    access             Zougang                       
[15]    accident           Actal                         
[16]    accompany          komm hun                      
[17]    according          entspriechend                 
[18]    account            Kont                          
[19]    accurate           genau                         
[20]    accuse             behësse mech                  
[21]    achieve            ausgezeechenten               
[22]    achievement        Reaktioun un                  
[23]    acknowledge        unerkennen                    
[24]    acquire            kréien                        
[25]    across             uppannen                      
[26]    act                Aktioun                       
[27]    action             Aktioun                       
[28]    active             aktiv Säit                    
[29]    activity           Aktivitéiten                  
[30]    actor              Absicht                       
[31]    actress            Handpriechen                  
[32]    actual             tatsächlech                   
[33]    actually           och tatsächlech               
[34]    ad                 uger                          
[35]    adapt              addelen                       
[36]    add                derbäi                        
[37]    addition           Zousätzlech zou               
[38]    additional         zousätzlech                   
[39]    address            adresséieren                  
[40]    administration     Administratioun               
[41]    admire             bewäerten                     
[42]    admit              Zäitseigeld                   
[43]    adopt              adoptéieren                   
[44]    adult              erwirkucken                   
[45]    advance            virkommt                      
[46]    advanced           fortdréier                    
[47]    advantage          Virdeel                       
[48]    adventure          Abensioun                     
[49]    advertise          annoéieren                    
[50]    advertisement      Consang                       
[51]    advertising        Rekontanten                   
[52]    advice             Berodung                      
[53]    advise             rodex                         
[54]    affair             Affär                         
[55]    affect             absett                        
[56]    afford             sech etabléiert               
[57]    afraid             Angscht                       
[58]    after              nach                          
[59]    afternoon          Mëtteg                        
[60]    afterward          duerno                        
[61]    again              erëm                          
[62]    against            géint                         
[63]    age                Alter a Alters                
[64]    agency             Agentur                       
[65]    agenda             Agenda                        
[66]    agent              Agent                         
[67]    aggressive         aggressiv                     
[68]    ago                virun enger Méint             
[69]    agree              Astinist sinn                 
[70]    agreement          Accord                        
[71]    ah                 Ah Ah                         
[72]    ahead              virdrun                       
[73]    aid                Hëllef                        
[74]    aim                Zil                           
[75]    air                Stonn                         
[76]    aircraft           Fliger                        
[77]    airline            Airranner                     
[78]    airport            aafement aswert               
[79]    alarm              Wollorm                       
[80]    album              Album                         
[81]    alcohol            Alkohol                       
[82]    alcoholic          alkoholesch                   
[83]    alive              D'Liewe lining                
[84]    all                alles                         
[85]    all                alles                         
[86]    allow              erlaben                       
[87]    almost             bal                           
[88]    alone              alleng                        
[89]    along              Zesumme gin                   
[90]    already            schons                        
[91]    also               och                           
[92]    alter              egeeter                       
[93]    alternative        D'Alterxirie                  
[94]    although           wëlls och                     
[95]    always             Ëmmer                         
[96]    amazed             erstaunwanter                 
[97]    amazing            erstaéi sinn                  
[98]    ambition           Ambing-Amititioun             
[99]    among              ënnert der                    
