The Oxford 3000™ (American English)
 The Oxford 3000 is the list of the 3000 most important words to learn in English, from A1 to B2 level.
 (All these words are translated in luxembourgish )                        


[1] .  a, an indefinite article            a,         آ، 


[2] .  abandon v.                          opginn             رها کردن 


[3] .  ability n.                          Fäegkeet               توانایی 


[4] .  able adj.                           kënnen             قادر است 


[5] .  about prep., adv.                   iwwer            در باره 


[6] .  above prep., adv.                   uewen            در بالا 


[7] .  abroad adv.                         am Ausland                 خارج از کشور 


[8] .  absolute adj.                       absolut              مطلق 


[9] .  absolutely adv.                     absolut              کاملا 


[10] .  academic                            akademesch                 علمی 


[11] .  accept v.                           akzeptéieren                   تایید کنید 


[12] .  acceptable adj.                     akzeptabel                 قابل قبول 


[13] .  access n., v.                       Zougang              دسترسی داشته باشید 


[14] .  accident n.                         Accident               تصادف 


[15] .  accompany v.                        begleeden                همراهی کردن 


[16] .  according to prep.                  no         با توجه 


[17] .  account n. B1, v.                   Kont           حساب 


[18] .  accurate adj.                       korrekt              دقیق 


[19] .  accuse v.                           beschëllegt                  متهم کردن 


[20] .  achieve v.                          erreechen                رسیدن 


[21] .  achievement n.                      Leeschtung                 دستاورد 


[22] .  acknowledge v.                      unerkennen                 اذعان 


[23] .  acquire v.                          kréien             بدست آوردن 


[24] .  across prep., adv.                  iwwer            در سراسر 


[25] .  act v. A2, n.                       handelen               عمل کنید 


[26] .  action n.                           Aktioun              عمل 


[27] .  active adj.                         aktiv            فعال 


[28] .  activity n.                         Aktivitéit                 فعالیت 


[29] .  actor n.                            Schauspiller                   بازیگر 


[30] .  actress n.                          Actrice              بازیگر 


[31] .  actual adj.                         tatsächlech                  واقعی 


[32] .  actually adv.                       eigentlech                 در حقیقت 


[33] .  ad n.                               ad         آگهی 


[34] .  adapt v.                            adaptéieren                  سازگار شدن 


[35] .  add v.                              dobäizemaachen                     اضافه کردن 


[36] .  addition n.                         Zousätzlech                  علاوه بر این 


[37] .  additional adj.                     zousätzlech                  اضافی 


[38] .  address n. A1, v.                   Adress             نشانی 


[39] .  administration n.                   Verwaltung                 مدیریت 


[40] .  admire v.                           bewonneren                 تحسین 


[41] .  admit v.                            zouginn              اقرار کردن 


[42] .  adopt v.                            adoptéieren                  اتخاذ کردن 


[43] .  adult n. A1, adj.                   erwuessener                  بالغ 


[44] .  advance n., v., adj.                viraus             پیشرفت 


[45] .  advanced adj.                       fortgeschratt                    پیشرفته 


[46] .  advantage n.                        Virdeel              مزیت - فایده - سود - منفعت 


[47] .  adventure n.                        Erliefnes                ماجرا 


[48] .  advertise v.                        annoncéieren                   تبلیغات 


[49] .  advertisement n.                    Annonce              تبلیغات 


[50] .  advertising n.                      Reklammen                تبلیغات 


[51] .  advice n.                           Rotschléi                مشاوره 


[52] .  advise v.                           beroden              توصیه 


[53] .  affair n.                           Affär            امر 


[54] .  affect v.                           beaflossen                 تاثیر می گذارد 


[55] .  afford v.                           leeschten                استطاعت داشتن 


[56] .  afraid adj.                         Angscht              می ترسد 


[57] .  after prep. A1, conj., adv.         no         بعد از 


[58] .  afternoon n.                        Mëtteg             بعد از ظهر 


[59] .  afterward adv.                      duerno             پس از آن 


[60] .  again adv.                          erëm           از نو 


[61] .  against prep.                       géint            در برابر 


[62] .  age n. A1, v.                       Alter            سن 


[63] .  agency n.                           Agence             آژانس 


[64] .  agenda n.                           Agenda             دستور جلسه 


[65] .  agent n.                            Agent            عامل 


[66] .  aggressive adj.                     aggressiv                خشونت آمیز 


[67] .  ago adv.                            ago          پیش 


[68] .  agree v.                            averstanen                 موافق 


[69] .  agreement n.                        Accord             توافق 


[70] .  ah exclam.                          ah         آه 


[71] .  ahead adv.                          viraus             در پیش 


[72] .  aid n., v.                          Hëllef             کمک 


[73] .  aim v., n.                          zielen             هدف 


[74] .  air n.                              loft           هوا 


[75] .  aircraft n.                         Fliger             هواپیما 


[76] .  airline n.                          Fluchgesellschaft                        شرکت هواپیمایی 


[77] .  airport n.                          Flughafen                فرودگاه 


[78] .  alarm n. B1, v.                     Alarm            زنگ خطر. هشدار 


[79] .  album n.                            Album            آلبوم 


[80] .  alcohol n.                          alkohol              الکل 


[81] .  alcoholic adj.                      alkoholesch                  الکلی 


[82] .  alive adj.                          lieweg             زنده 


[83] .  all det., pron. A1, adv.            all          همه 


[84] .  all right adj./adv.                 all          همه 


[85] .  allow v.                            erlaben              اجازه 


[86] .  almost adv.                         bal          تقریبا 


[87] .  alone adj./adv.                     alleng             تنها 


[88] .  along prep., adv.                   laanscht               در امتداد 


[89] .  already adv.                        scho           قبلا، پیش از این 


[90] .  also adv.                           och          همچنین 


[91] .  alter v.                            änneren              تغییر دهید 


[92] .  alternative n. A2, adj.             alternativ                 جایگزین 


[93] .  although conj.                      obwuel             با اينكه 


[94] .  always adv.                         ëmmer            همیشه 


[95] .  amazed adj.                         erstaunt               شگفت زده 


[96] .  amazing adj.                        erstaunlech                  حیرت آور 


[97] .  ambition n.                         Ambitioun                هدف - آرزو 


[98] .  among prep.                         ënnert             در میان 


