The Oxford 3000™ (American English)
 The Oxford 3000 is the list of the 3000 most important words to learn in English, from A1 to B2 level.
 (All these words are translated in persian )                        


[1] .  a, an indefinite article            آ،         a, 


[2] .  abandon v.                          رها کردن               opginn 


[3] .  ability n.                          توانایی              Fäegkeet 


[4] .  able adj.                           قادر است               kënnen 


[5] .  about prep., adv.                   در باره              iwwer 


[6] .  above prep., adv.                   در بالا              uewen 


[7] .  abroad adv.                         خارج از کشور                   am Ausland 


[8] .  absolute adj.                       مطلق           absolut 


[9] .  absolutely adv.                     کاملا            absolut 


[10] .  academic                            علمی           akademesch 


[11] .  accept v.                           تایید کنید                 akzeptéieren 


[12] .  acceptable adj.                     قابل قبول                akzeptabel 


[13] .  access n., v.                       دسترسی داشته باشید                         Zougang 


[14] .  accident n.                         تصادف            Accident 


[15] .  accompany v.                        همراهی کردن                  begleeden 


[16] .  according to prep.                  با توجه              no 


[17] .  account n. B1, v.                   حساب           Kont 


[18] .  accurate adj.                       دقیق           korrekt 


[19] .  accuse v.                           متهم کردن                beschëllegt 


[20] .  achieve v.                          رسیدن            erreechen 


[21] .  achievement n.                      دستاورد              Leeschtung 


[22] .  acknowledge v.                      اذعان            unerkennen 


[23] .  acquire v.                          بدست آوردن                 kréien 


[24] .  across prep., adv.                  در سراسر               iwwer 


[25] .  act v. A2, n.                       عمل کنید               handelen 


[26] .  action n.                           عمل          Aktioun 


[27] .  active adj.                         فعال           aktiv 


[28] .  activity n.                         فعالیت             Aktivitéit 


[29] .  actor n.                            بازیگر             Schauspiller 


[30] .  actress n.                          بازیگر             Actrice 


[31] .  actual adj.                         واقعی            tatsächlech 


[32] .  actually adv.                       در حقیقت               eigentlech 


[33] .  ad n.                               آگهی           ad 


[34] .  adapt v.                            سازگار شدن                 adaptéieren 


[35] .  add v.                              اضافه کردن                 dobäizemaachen 


[36] .  addition n.                         علاوه بر این                   Zousätzlech 


[37] .  additional adj.                     اضافی            zousätzlech 


[38] .  address n. A1, v.                   نشانی            Adress 


[39] .  administration n.                   مدیریت             Verwaltung 


[40] .  admire v.                           تحسین            bewonneren 


[41] .  admit v.                            اقرار کردن                 zouginn 


[42] .  adopt v.                            اتخاذ کردن                 adoptéieren 


[43] .  adult n. A1, adj.                   بالغ           erwuessener 


[44] .  advance n., v., adj.                پیشرفت             viraus 


[45] .  advanced adj.                       پیشرفته              fortgeschratt 


[46] .  advantage n.                        مزیت - فایده - سود - منفعت                                 Virdeel 


[47] .  adventure n.                        ماجرا            Erliefnes 


[48] .  advertise v.                        تبلیغات              annoncéieren 


[49] .  advertisement n.                    تبلیغات              Annonce 


[50] .  advertising n.                      تبلیغات              Reklammen 


[51] .  advice n.                           مشاوره             Rotschléi 


[52] .  advise v.                           توصیه            beroden 


[53] .  affair n.                           امر          Affär 


[54] .  affect v.                           تاثیر می گذارد                     beaflossen 


[55] .  afford v.                           استطاعت داشتن                    leeschten 


[56] .  afraid adj.                         می ترسد              Angscht 


[57] .  after prep. A1, conj., adv.         بعد از             no 


[58] .  afternoon n.                        بعد از ظهر                 Mëtteg 


[59] .  afterward adv.                      پس از آن               duerno 


[60] .  again adv.                          از نو            erëm 


[61] .  against prep.                       در برابر               géint 


[62] .  age n. A1, v.                       سن         Alter 


[63] .  agency n.                           آژانس            Agence 


[64] .  agenda n.                           دستور جلسه                 Agenda 


[65] .  agent n.                            عامل           Agent 


[66] .  aggressive adj.                     خشونت آمیز                 aggressiv 


[67] .  ago adv.                            پیش          ago 


[68] .  agree v.                            موافق            averstanen 


[69] .  agreement n.                        توافق            Accord 


[70] .  ah exclam.                          آه         ah 


[71] .  ahead adv.                          در پیش             viraus 


[72] .  aid n., v.                          کمک          Hëllef 


[73] .  aim v., n.                          هدف          zielen 


[74] .  air n.                              هوا          loft 


[75] .  aircraft n.                         هواپیما              Fliger 


[76] .  airline n.                          شرکت هواپیمایی                     Fluchgesellschaft 


[77] .  airport n.                          فرودگاه              Flughafen 


[78] .  alarm n. B1, v.                     زنگ خطر. هشدار                     Alarm 


[79] .  album n.                            آلبوم            Album 


[80] .  alcohol n.                          الکل           alkohol 


[81] .  alcoholic adj.                      الکلی            alkoholesch 


[82] .  alive adj.                          زنده           lieweg 


[83] .  all det., pron. A1, adv.            همه          all 


[84] .  all right adj./adv.                 همه          all 


[85] .  allow v.                            اجازه            erlaben 


[86] .  almost adv.                         تقریبا             bal 


[87] .  alone adj./adv.                     تنها           alleng 


[88] .  along prep., adv.                   در امتداد                laanscht 


[89] .  already adv.                        قبلا، پیش از این                       scho 


[90] .  also adv.                           همچنین             och 


[91] .  alter v.                            تغییر دهید                 änneren 


[92] .  alternative n. A2, adj.             جایگزین              alternativ 


[93] .  although conj.                      با اينكه               obwuel 


[94] .  always adv.                         همیشه            ëmmer 


[95] .  amazed adj.                         شگفت زده               erstaunt 


[96] .  amazing adj.                        حیرت آور               erstaunlech 


[97] .  ambition n.                         هدف - آرزو                 Ambitioun 


[98] .  among prep.                         در میان              ënnert 


